feature,mean_abs_shap,mean_shap,is_policy,direction
SC216Q01JA,0.0,0.0,False,reduces_slope
SC216Q03JA,0.0,0.0,False,reduces_slope
SC216Q07JA,0.0,0.0,False,reduces_slope
SC182Q10JA02,0.0,0.0,False,reduces_slope
SC182Q01WA02,0.0,0.0,False,reduces_slope
SC182Q06WA02,0.0,0.0,False,reduces_slope
SC221Q03JA,0.0,0.0,False,reduces_slope
SC217Q06JA,0.0,0.0,False,reduces_slope
SC217Q08JA,0.0,0.0,False,reduces_slope
SC217Q10JA,0.0,0.0,False,reduces_slope
SC218Q01JA,0.0,0.0,False,reduces_slope
SC018Q02TA01,0.0,0.0,False,reduces_slope
SC018Q01TA02,0.0,0.0,False,reduces_slope
SC018Q02TA02,0.0,0.0,False,reduces_slope
SC222Q04JA,0.0,0.0,False,reduces_slope
SC223Q05JA,0.0,0.0,False,reduces_slope
SC222Q05JA,0.0,0.0,False,reduces_slope
SC223Q08JA,0.0,0.0,False,reduces_slope
SC223Q09JA,0.0,0.0,False,reduces_slope
