outcome,feature,feature_group,standardized_coef,abs_standardized_coef,permutation_importance,bivariate_correlation
within_school_gap,TEACHBEHA,school_climate,-0.8447471468263623,0.8447471468263623,0.00043641830116409875,0.027523947870755273
within_school_gap,student_school_internet_speed_mean,digital_access,-0.8312090903011176,0.8312090903011176,0.0004948280039899888,0.043199869168726646
within_school_gap,SC201Q06JA,leadership,-0.8290677742662753,0.8290677742662753,7.963382715363565e-05,-0.07115271724686756
within_school_gap,student_math_motivation_mean,student_attitudes,-0.6761059824178436,0.6761059824178436,0.00022696199248612993,-0.03336413446392628
within_school_gap,student_math_reasoning_selfefficacy_mean,student_attitudes,-0.6739846927641195,0.6739846927641195,0.0020701621536985517,0.03946998015004303
within_school_gap,student_ict_regulation_mean,digital,0.6324474796533681,0.6324474796533681,0.001914899444050344,-0.08782541776169067
within_school_gap,RATCMP2,digital_access,0.6286388517992855,0.6286388517992855,3.935466611371119e-05,0.11814092867500904
within_school_gap,student_career_info_mean,aspirations,-0.6255177075545841,0.6255177075545841,0.00686550011554572,-0.045020140273013425
within_school_gap,student_skipping_mean,attendance,-0.6090112931526447,0.6090112931526447,0.00338269837705496,-0.04841321420425006
within_school_gap,SC201Q05JA,leadership,-0.5526757019654295,0.5526757019654295,1.7215782550761283e-05,-0.07038655971654642
within_school_gap,student_school_digital_internet_devices_mean,digital_access,0.2892466577227642,0.2892466577227642,0.00018601819505894567,0.1367941545436714
within_school_gap,student_tardy_mean,attendance,0.24246986485095026,0.24246986485095026,0.0007169009975999341,-0.01010595269991935
within_school_gap,SC017Q10JA,digital_access,0.23415410820641416,0.23415410820641416,2.9787818434479085e-05,-0.09723788364464997
within_school_gap,student_school_digital_resources_mean,digital_access,-0.21945975250975103,0.21945975250975103,0.0004930347440883053,0.12702371988181907
within_school_gap,SC017Q09JA,digital_access,-0.15746726318374865,0.15746726318374865,1.67940206794448e-05,-0.11084363456822278
within_school_gap,student_math_anxiety_mean,student_attitudes,0.05915434283158068,0.05915434283158068,0.0016485490276284987,-0.11123956353611567
within_school_gap,RATCMP1,digital_access,-0.04748344290273181,0.04748344290273181,0.0003417689639323207,0.062842635507161
within_school_gap,SC061Q05TA,school_climate,-0.012896201469713858,0.012896201469713858,0.00018383597076252479,0.0314456386921135
