CNT,latest_year,latest_gap,latest_avg_math,latest_avg_read,latest_avg_science,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs,n_timepoints,latest_gap_rank
GTM,2022,49.58282411334784,342.5834931728391,370.64001035974036,370.0512004772897,-1.5614933415270957,1808,-2.618879772790555,-0.5251443100484751,1,93
SAU,2022,47.78210594376145,393.90029521249056,384.29578044625634,394.0452583445648,-0.1425351701316145,1938,-0.7390338174652883,0.5501495427551698,2,94
QRT,2018,45.47267225620652,474.1547707009076,461.57985876902006,463.1888274793734,0.13542899598316877,2000,-0.4167517133480126,0.6759586692534789,1,95
JOR,2022,45.346800471124084,371.08251494879244,354.8895054469737,386.3977779216121,-0.7739346203683091,1980,-1.5993001779566403,0.0627,5,96
JAM,2022,45.094160935588775,381.3246612947851,415.7511246612536,409.15868206848353,-0.5430564969684958,1745,-1.1596764554559034,0.12927989823372488,1,97
PHL,2022,45.057897671324156,368.46331580041755,366.8461457182041,373.12491181153536,-1.114594426560596,1907,-1.8761220096295796,-0.30920158885729554,2,98
KAZ,2022,44.927088705948336,415.266265716607,382.32460253117983,418.02548526189173,-0.3311506237269078,1996,-0.9374184728792287,0.33706327531808467,4,99
KHM,2022,42.50985171112302,344.5684887641056,333.15500491351617,350.9345689715559,-1.8001441758964865,1851,-2.885098636843671,-0.8118326204157394,1,100
KSV,2022,40.509639149018994,358.40744441830543,345.69684601015916,360.5396946521915,-0.295379462014582,1839,-0.9020764559626236,0.37156505004896123,3,101
QHP,2009,38.163572474296814,340.88864893831675,319.85413571833755,326.1442601724686,659.2381593513296,1379,-2.0397,-0.29817415548946274,1,102
QTN,2009,37.57995917565438,351.9412787349091,335.145111397898,347.3357309647258,842.8260680569642,1802,-2.4048,-0.5741,1,103
DZA,2015,29.857584970629944,362.11670664885315,351.5130621462722,378.7056739851637,-1.3149626905423926,1840,-1.9688626005355763,-0.6398887548823117,1,104
UZB,2022,29.179503026034524,366.17634669825935,337.77739207159715,356.25447116045325,-0.668540262197402,1873,-1.4306285528306044,0.12946149312475025,1,105
IDN,2022,25.185068052186068,360.5298894701561,355.2098974494338,379.0728498656762,-1.5356497576209305,1999,-2.265591211608825,-0.8397549539877317,5,106
AZE,2009,12.434349190832108,431.310191988016,365.76677021088153,377.94421535940893,134.40419261121951,1799,-1.3434184768858743,0.188410226868052,1,107
