CNT,first_year,last_year,first_gap,last_gap,n_timepoints,gap_volatility,annual_change,long_run_change,trend_evidence,trend_label,trend_rank
NZL,2009,2022,95.54054417691736,97.78133214033124,5,3.122446871105131,0.19354481885065408,2.2407879634138794,strong,Stable,44
UKR,2018,2018,89.65741427638585,89.65741427638585,1,,,0.0,weak,Insufficient time points,45
QVE,2009,2009,105.4079336898264,105.4079336898264,1,,,0.0,weak,Insufficient time points,46
QUR,2022,2022,88.5340951860735,88.5340951860735,1,,,0.0,weak,Insufficient time points,47
QUD,2015,2015,84.64015828769004,84.64015828769004,1,,,0.0,weak,Insufficient time points,48
UZB,2022,2022,29.179503026034524,29.179503026034524,1,,,0.0,weak,Insufficient time points,49
SLV,2022,2022,56.06255091270231,56.06255091270231,1,,,0.0,weak,Insufficient time points,50
QCH,2015,2015,100.7607499745863,100.7607499745863,1,,,0.0,weak,Insufficient time points,51
QTN,2009,2009,37.57995917565438,37.57995917565438,1,,,0.0,weak,Insufficient time points,52
QUE,2015,2015,78.65522484988588,78.65522484988588,1,,,0.0,weak,Insufficient time points,53
QES,2015,2015,79.23328537715429,79.23328537715429,1,,,0.0,weak,Insufficient time points,54
QCI,2018,2018,77.37204197090534,77.37204197090534,1,,,0.0,weak,Insufficient time points,55
QMR,2018,2018,51.39376077882247,51.39376077882247,1,,,0.0,weak,Insufficient time points,56
QRS,2012,2012,72.19178215407157,72.19178215407157,1,,,0.0,weak,Insufficient time points,57
QRT,2018,2018,45.47267225620652,45.47267225620652,1,,,0.0,weak,Insufficient time points,58
QHP,2009,2009,38.163572474296814,38.163572474296814,1,,,0.0,weak,Insufficient time points,59
BIH,2018,2018,59.391117021549405,59.391117021549405,1,,,0.0,weak,Insufficient time points,60
QUC,2015,2015,88.1839255492589,88.1839255492589,1,,,0.0,weak,Insufficient time points,61
AZE,2009,2009,12.434349190832108,12.434349190832108,1,,,0.0,weak,Insufficient time points,62
BLR,2018,2018,103.03594655801174,103.03594655801174,1,,,0.0,weak,Insufficient time points,63
DZA,2015,2015,29.857584970629944,29.857584970629944,1,,,0.0,weak,Insufficient time points,64
GTM,2022,2022,49.58282411334784,49.58282411334784,1,,,0.0,weak,Insufficient time points,65
JAM,2022,2022,45.094160935588775,45.094160935588775,1,,,0.0,weak,Insufficient time points,66
KGZ,2009,2009,88.57916715581166,88.57916715581166,1,,,0.0,weak,Insufficient time points,67
