CNT,YEAR,gap_recomputed,avg_math_recomputed,avg_read_recomputed,avg_science_recomputed,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs
DEU,2012,49.15373440388805,516.874966425192,511.4075400265251,528.6770542115113,1502.7890198587445,1797,-0.31,1.45
DEU,2015,82.31393230142271,516.1097698880309,523.399368516708,522.4344241942516,0.18141032192483472,1819,-0.4803270263690532,0.9516645252939646
DEU,2018,105.43150877528177,510.25593033860355,510.04568696400304,514.7269173468459,-0.05007246852734123,1808,-0.7479971999963421,0.7266338754087771
DEU,2022,98.77966190141501,480.3343448731241,485.78039541550754,498.0334326363467,-0.1492256116977195,1832,-0.8292919519252205,0.6326021466937256
DNK,2009,69.99029233588863,502.8586181876977,497.39824470117685,500.5581364309557,132.8785659957515,1845,-0.28759561985212523,1.0005997755717126
DNK,2012,82.11329143742307,507.53822514385007,503.799454919961,508.13268452447755,158.7091403915736,1908,-0.15,1.13
DNK,2015,67.60495866633909,515.5575624290999,503.37168583052375,505.7866500345923,0.5897535341571958,1878,-0.01435494383354579,1.2936697228469827
DNK,2018,56.5473353868955,516.6895458684245,508.02585457302445,499.34112370692407,0.5469734422548124,1870,0.14528554213225608,1.067074992776006
DNK,2022,67.31922989459906,493.51814375144096,493.9337033010056,496.0246178195213,0.49075984276125373,1841,0.03773941511632469,1.0445
DOM,2015,57.07990836375484,332.96779883598447,364.06916530594003,336.4172939445452,-0.7936186962292611,1792,-1.481024053083712,-0.0472812598386571
DOM,2018,58.170804047822344,332.67539017120475,348.94734555827984,342.5566573371783,-0.9538744705554244,1825,-1.6780525865246152,-0.1318697804149988
DOM,2022,55.94089361181881,347.0401799118653,363.7163793517922,368.51568745660285,-0.6120915984247336,1849,-1.2893036295569282,0.15710446562337263
DZA,2015,29.857584970629944,362.11670664885315,351.5130621462722,378.7056739851637,-1.3149626905423926,1840,-1.9688626005355763,-0.6398887548823117
ESP,2009,82.83494115888982,491.06759709662737,487.02702429834596,491.295801506769,32.978285210902015,1996,-1.0246,0.6245
ESP,2012,65.2999140519737,499.323771917235,501.5531461295394,509.31709270982833,116.56458009712442,1998,-0.7756106867415865,0.86
ESP,2015,85.93359070294935,490.87602400883446,500.44022935965296,497.32577474417127,-0.3838863861393502,1859,-1.3135308377006631,0.6241170449503899
ESP,2018,72.4880280349214,489.5327012519961,486.40832050167626,493.2113048323255,-0.039921629587903046,1977,-0.7312549318336307,0.7193518895016837
ESP,2022,80.22476812766189,483.3274392624749,484.9721776754249,494.0943992372044,0.014706959139397192,1976,-0.5936358187677667,0.803857196327612
EST,2009,59.74149590453476,509.96302684545697,498.32881824316473,524.5543170803348,49.64087781862744,1824,-0.4562383317144214,0.8113
EST,2012,55.61304211778139,521.4151978821953,516.0973466696344,540.340116555208,133.60835527197187,1810,-0.54,0.83
EST,2015,76.05656687005734,519.8164003788286,521.4017677672325,535.3322629102057,0.08654446162586289,1819,-0.5266776509402615,0.7156585134315995
EST,2018,68.49509699439727,527.0652140568343,527.3662208601108,533.9747701678058,0.14350839855864864,1814,-0.4588578225402129,0.7844686364102129
EST,2022,81.90775872229858,514.2655603346002,515.1988480527383,530.4527881962615,0.22863181839226132,1843,-0.3406142186583221,0.8790150804091597
FIN,2009,49.4394841565462,542.5155806866599,536.719253278845,555.7150678788008,38.546095762973145,1827,-0.1386166215226931,0.9886
FIN,2012,57.28703490695199,523.2043070074235,530.941585873337,549.2539457331779,90.41856583727501,1886,-0.1,1.04
FIN,2015,80.44206627315884,514.0481125949592,531.349541542132,534.8150145343418,0.29329775060460717,1826,-0.256114578657615,0.9249630790687088
FIN,2018,83.49255299849415,511.46832486504803,525.701254284665,526.9526775370219,0.3251290957488013,1825,-0.24850131677138537,0.94846884569584
FIN,2022,88.16968586590201,488.40803313030545,495.4465409708868,515.9360369979181,0.2891979972261289,1917,-0.2783305277228747,0.9183387073661717
FRA,2009,107.00424153624078,500.0258637268743,499.0977242580932,501.5593380191599,165.6877202114846,2000,-0.6696,0.4843091407611009
FRA,2012,98.96995350386015,497.7232036250545,503.6805119346151,500.1708227131316,266.8454045407288,1812,-0.58,0.6298407264046185
FRA,2015,107.39718295191454,498.06229625761836,504.945472250337,500.30527159060614,-0.07334705987239103,1845,-0.6662724806398309,0.556781140724122
FRA,2018,112.70358744331139,502.9412581845425,499.4855202467706,498.1064457952184,0.021258293581431276,1858,-0.5625089814778719,0.6852268348625514
FRA,2022,111.83522333428891,480.5958294035037,479.8947873203821,494.8819080691126,0.04048546656451134,1861,-0.5424580722548608,0.7145238126012453
GBR,2009,72.29329894241965,496.31875087188996,497.0728252005744,519.190338653534,306.95333863562934,1936,-0.23283514765484978,0.89
GBR,2012,74.28631146538515,504.35270835852054,506.6496784410426,521.6001333563112,194.85541514143492,1949,-0.3,1.0
GBR,2015,86.23431793731498,503.9770268586773,505.97720631872784,519.8932022869203,0.281001553245835,1922,-0.3388312933983034,0.9018421255262745
GBR,2018,83.39587527586394,517.1453768987977,521.1851341917062,519.9012234813792,0.3845732129026021,1938,-0.23467647279202983,1.0217
GBR,2022,95.1965252955618,503.68577979504454,511.6813405966573,516.4309406226705,0.16098137658353037,1921,-0.4812960688293165,0.8449617797485438
